scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
183,absent,non-monotonic,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,-0.02
184,absent,non-monotonic,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,0.01
185,absent,non-monotonic,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,0
186,absent,non-monotonic,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,-0.01
187,absent,non-monotonic,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,-0.02
188,absent,non-monotonic,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,0.01
189,absent,non-monotonic,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,0
190,absent,non-monotonic,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,-0.01
191,absent,non-monotonic,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,-0.02
192,absent,non-monotonic,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,0.01
193,absent,non-monotonic,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,0
194,absent,non-monotonic,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,-0.01
195,absent,non-monotonic,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,-0.02
196,absent,non-monotonic,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,0.01
197,absent,non-monotonic,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,0
198,absent,non-monotonic,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,-0.01
199,absent,non-monotonic,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,-0.02
200,absent,non-monotonic,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,0.01
201,absent,non-monotonic,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,0
202,absent,non-monotonic,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,-0.01
203,absent,non-monotonic,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,-0.02
204,absent,non-monotonic,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,0.01
205,absent,non-monotonic,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,0
206,absent,non-monotonic,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,-0.01
207,absent,non-monotonic,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,-0.02
208,absent,non-monotonic,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,0.01
209,absent,non-monotonic,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,0
210,absent,non-monotonic,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,-0.01
211,absent,non-monotonic,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,-0.02
212,absent,non-monotonic,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.15,3.32,0.38,0,0,0.01
213,absent,non-monotonic,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,0
214,absent,non-monotonic,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,-0.01
215,absent,non-monotonic,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,-0.02
216,absent,non-monotonic,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.74,4.1,0.55,0,0,0.01
217,moderate,constant,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.029
218,moderate,constant,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.021750000000000002
219,moderate,constant,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.0145
220,moderate,constant,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.036250000000000004
221,moderate,constant,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.033
222,moderate,constant,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.02475
223,moderate,constant,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.0165
224,moderate,constant,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.04125
225,moderate,constant,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.024
226,moderate,constant,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.018000000000000002
227,moderate,constant,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.012
228,moderate,constant,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.03
229,moderate,constant,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.029
230,moderate,constant,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.021750000000000002
231,moderate,constant,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.0145
232,moderate,constant,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.036250000000000004
233,moderate,constant,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.033
234,moderate,constant,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.02475
235,moderate,constant,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.0165
236,moderate,constant,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.04125
237,moderate,constant,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.024
238,moderate,constant,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.018000000000000002
239,moderate,constant,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.012
240,moderate,constant,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.03
241,moderate,constant,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.029
242,moderate,constant,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.021750000000000002
243,moderate,constant,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.0145
244,moderate,constant,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.2231435513142097,1,0,0,0.029,0.036250000000000004
245,moderate,constant,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.033
246,moderate,constant,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.02475
247,moderate,constant,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.0165
248,moderate,constant,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.2231435513142097,1,0,0,0.033,0.04125
249,moderate,constant,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.024
250,moderate,constant,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.018000000000000002
251,moderate,constant,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.012
252,moderate,constant,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.2231435513142097,1,0,0,0.024,0.03
253,moderate,linear-moderate,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.029
254,moderate,linear-moderate,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.021750000000000002
255,moderate,linear-moderate,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.0145
256,moderate,linear-moderate,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.036250000000000004
257,moderate,linear-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.033
258,moderate,linear-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.02475
259,moderate,linear-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.0165
260,moderate,linear-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.04125
261,moderate,linear-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.024
262,moderate,linear-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.018000000000000002
263,moderate,linear-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.012
264,moderate,linear-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.03
265,moderate,linear-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.029
266,moderate,linear-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.021750000000000002
267,moderate,linear-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.0145
268,moderate,linear-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.036250000000000004
269,moderate,linear-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.033
270,moderate,linear-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.02475
271,moderate,linear-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.0165
272,moderate,linear-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.04125
273,moderate,linear-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.024
274,moderate,linear-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.018000000000000002
275,moderate,linear-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.012
276,moderate,linear-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.03
277,moderate,linear-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.029
278,moderate,linear-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.021750000000000002
279,moderate,linear-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.0145
280,moderate,linear-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.29,0.9472527,0,0,0.029,0.036250000000000004
281,moderate,linear-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.033
282,moderate,linear-moderate,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.02475
283,moderate,linear-moderate,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.0165
284,moderate,linear-moderate,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.3,0.9340659,0,0,0.033,0.04125
285,moderate,linear-moderate,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.024
286,moderate,linear-moderate,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.018000000000000002
287,moderate,linear-moderate,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.012
288,moderate,linear-moderate,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.28,0.9296703,0,0,0.024,0.03
289,moderate,linear-high,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.029
290,moderate,linear-high,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.021750000000000002
291,moderate,linear-high,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.0145
292,moderate,linear-high,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.036250000000000004
293,moderate,linear-high,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.033
294,moderate,linear-high,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.02475
295,moderate,linear-high,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.0165
296,moderate,linear-high,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.04125
297,moderate,linear-high,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.024
298,moderate,linear-high,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.018000000000000002
299,moderate,linear-high,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.012
300,moderate,linear-high,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.03
301,moderate,linear-high,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.029
302,moderate,linear-high,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.021750000000000002
303,moderate,linear-high,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.0145
304,moderate,linear-high,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.036250000000000004
305,moderate,linear-high,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.033
306,moderate,linear-high,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.02475
307,moderate,linear-high,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.0165
308,moderate,linear-high,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.04125
309,moderate,linear-high,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.024
310,moderate,linear-high,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.018000000000000002
311,moderate,linear-high,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.012
312,moderate,linear-high,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.03
313,moderate,linear-high,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.029
314,moderate,linear-high,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.021750000000000002
315,moderate,linear-high,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.0145
316,moderate,linear-high,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.46,0.7956044,0,0,0.029,0.036250000000000004
317,moderate,linear-high,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.033
318,moderate,linear-high,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.02475
319,moderate,linear-high,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.0165
320,moderate,linear-high,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.5,0.7758242,0,0,0.033,0.04125
321,moderate,linear-high,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.024
322,moderate,linear-high,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.018000000000000002
323,moderate,linear-high,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.012
324,moderate,linear-high,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.41,0.7846154,0,0,0.024,0.03
325,moderate,quadratic-moderate,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.029
326,moderate,quadratic-moderate,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.021750000000000002
327,moderate,quadratic-moderate,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.0145
328,moderate,quadratic-moderate,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.036250000000000004
329,moderate,quadratic-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.033
330,moderate,quadratic-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.02475
331,moderate,quadratic-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.0165
332,moderate,quadratic-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.04125
333,moderate,quadratic-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.024
334,moderate,quadratic-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.018000000000000002
335,moderate,quadratic-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.012
336,moderate,quadratic-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.03
337,moderate,quadratic-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.029
338,moderate,quadratic-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.021750000000000002
339,moderate,quadratic-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.0145
340,moderate,quadratic-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.036250000000000004
341,moderate,quadratic-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.033
342,moderate,quadratic-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.02475
343,moderate,quadratic-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.0165
344,moderate,quadratic-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.04125
345,moderate,quadratic-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.024
346,moderate,quadratic-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.018000000000000002
