scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
403,moderate,non-monotonic,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.0165
404,moderate,non-monotonic,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.04125
405,moderate,non-monotonic,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.024
406,moderate,non-monotonic,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.018000000000000002
407,moderate,non-monotonic,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.012
408,moderate,non-monotonic,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.03
409,moderate,non-monotonic,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.029
410,moderate,non-monotonic,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.021750000000000002
411,moderate,non-monotonic,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.0145
412,moderate,non-monotonic,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.036250000000000004
413,moderate,non-monotonic,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.033
414,moderate,non-monotonic,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.02475
415,moderate,non-monotonic,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.0165
416,moderate,non-monotonic,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.04125
417,moderate,non-monotonic,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.024
418,moderate,non-monotonic,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.018000000000000002
419,moderate,non-monotonic,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.012
420,moderate,non-monotonic,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.03
421,moderate,non-monotonic,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.029
422,moderate,non-monotonic,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.021750000000000002
423,moderate,non-monotonic,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.0145
424,moderate,non-monotonic,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.036250000000000004
425,moderate,non-monotonic,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.033
426,moderate,non-monotonic,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.02475
427,moderate,non-monotonic,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.0165
428,moderate,non-monotonic,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.04125
429,moderate,non-monotonic,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.024
430,moderate,non-monotonic,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.018000000000000002
